Country,Warning Level,Recommendation,The Threatened Area,Detail
Uganda,2,Enhanced precautionary measures,Entire country,"Due to recent terrorist events in Uganda and concerns about the existence of various terror infrastructures in the country and their activities, there is a continuous potential threat to harm Israelis/Jews residing in the country."
Uzbekistan,03\04,"Common border area between Uzbekistan and Afghanistan: High threat level (Level 4), it is recommended to avoid within 30 kilometers of the border. Other areas of the country: Moderate threat level (Level 3), and non-essential travel is advised to be avoided.",Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, centered around protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in terrorist motives to harm Israelis/Jews residing in the country. Therefore, it is recommended to consider non-essential travel to this country."
Austria,2,Enhanced precautionary measures,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, centered around protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in terrorist motives to harm Israelis/Jews wherever they are. Therefore, residents in the country are advised to take enhanced precautionary measures."
Solomon Islands,1,Normal precautionary measures,N/A,No information available.
Iceland,1,Normal precautionary measures,N/A,No information available.
Ireland,2,Enhanced precautionary measures,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, centered around protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in terrorist motives to harm Israelis/Jews wherever they are. Therefore, residents in the country are advised to take enhanced precautionary measures."
Afghanistan,4,Avoid visiting,Entire country,"Due to persistent threats from terrorist organizations, including the Taliban, Al-Qaeda, and ISIS, causing numerous casualties monthly in the population and local security forces, there is a real security risk for Israelis visiting/staying in this country."
Argentina,2,Enhanced precautions,Entire country,"Due to the ""Iron Swords"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, including protests, incitement, and anti-Semitic incidents. Also, there is an increase in terrorist motivations to target Israelis/Jews wherever they are. In light of this, it is recommended for those staying in the country to take enhanced precautions."
Armenia,1,Normal precautions,None,No information available.
Belgium,2,Enhanced Caution Measures,Entire Country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in motivation for terror entities to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Brazil,2,Enhanced Caution Measures,Entire Country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in motivation for terror entities to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
Gabon,2,Enhanced Caution Measures,Entire Country,"Due to the ""Iron Blades"" war, there is a significant increase in hostility towards Israelis and Jews worldwide, with a focus on protests, incitement, and anti-Semitic incidents. Additionally, there is an increase in motivation for terror entities to target Israelis/Jews wherever they are. Therefore, it is recommended to stay in the country and take enhanced caution measures."
