Country,Warning Level,Recommendation,Threatened Area,Detail
Uganda,02,Enhanced cautionary measures,Throughout the country,"Due to recent terrorist incidents in Uganda and concerns about the existence of various terrorist infrastructures in the country, there is a continuous potential threat to harm Israelis/Jews residing in the country."
Uzbekistan,01/04,"No travel warning (Level 1), recommended to take regular cautionary measures.","Common border area between Uzbekistan and Afghanistan: High threat level (Level 4), advisable to avoid within 30 kilometers of the border.",The border of Uzbekistan with Afghanistan,"It is recommended to maintain a distance of 30 kilometers from the border with Afghanistan due to concerns that terrorist elements in Afghanistan may carry out attacks in this area."
Austria,01,Regular cautionary measures,None,No information available.
Australia,01,Regular cautionary measures,None,No information available.
Ukraine,01,Regular cautionary measures,None,"While there is no travel warning regarding terrorism, due to the ongoing conflict, those planning to visit Ukraine should check the recommendations from the Ministry of Foreign Affairs regarding visits to Ukraine."
Uruguay,01,Regular cautionary measures,None,No information available.
Azerbaijan,02,Enhanced cautionary measures,Throughout the country,"Due to concerns about the existence of various terrorist infrastructures in Azerbaijan, there is a continuous potential threat to harm Israelis/Jews residing in the country."
United Arab Emirates,03,Avoid non-essential travel,Throughout the country,"Ongoing terrorist activity poses a real risk to Israelis staying/visiting the country."
Italy,01,Regular cautionary measures,None,"While there is no travel warning related to terrorism, considering the wildfires in the country, the Ministry of Foreign Affairs has published recommendations for Israelis planning to visit Italy."
Bahamas,01,Regular cautionary measures,None,No information available.
Burundi,01,Regular precautions,NA,No information available
Burkina Faso,04,Avoid travel to the country,Entire territory,"In recent years, there has been an increase in terrorist activity in the country by global jihadist elements. As part of this, terrorist attacks have been carried out, including attacks on tourist targets in the capital, including an attack on the French embassy building. Therefore, there is a risk to the lives of Israelis who visit this country."
Bahrain,03,Avoid non-essential travel,Entire territory,"Due to the presence of terrorism infrastructure in the country, there is a real risk to the security of Israelis visiting/staying in this country."
Belarus,01,Regular precautions,NA,No information available
Belgium,01,Regular precautions,NA,No information available
Belize,01,Regular precautions,NA,No information available
Bangladesh,03,Avoid non-essential travel,Entire territory,"In Bangladesh, there is a presence and activity of supporters and members of global jihadist organizations; this activity poses a risk to Israelis visiting the country. Therefore, we recommend avoiding travel to the country."
Benin,01,Regular precautions,NA,No information available
Barbados,01,Regular precautions,NA,No information available
Brunei,01,Regular precautions,NA,No information available
Brazil,01,Regular precautions,NA,No information available
Britain,01,Regular precautions,NA,No information available
Gabon,01,Regular precautions,NA,No information available
Georgia,02/01,"High threat level (Level 2) – It is recommended to take enhanced precautions: the Pankisi Gorge in the east of the country. No travel warning (Level 1) – It is recommended to take regular precautions: the rest of the country.","Pankisi Gorge","Due to the concern about terrorist activity by Al-Shabaab in the Pankisi region (eastern Georgia), there is a concern for the security of Israeli tourists visiting the area."
Ghana,01,Regular precautions,NA,No information available
Guatemala,01,Regular precautions,NA,No information available
Guyana,01,Regular precautions,NA,No information available
Djibouti,02/04,"High threat level (Level 4) – It is recommended to avoid travel: about 30 km from the border of Djibouti with Somalia in the south and about 30 km from the border of Djibouti with Eritrea in the north. Occasional threat level (Level 2) – It is recommended to take enhanced precautions: the rest of the country.",Entire territory,"Due to the fear of terrorist activity by the organization "Al-Shabaab Al-Somali," enhanced precautions should be taken when staying in Djibouti. Also, it is advisable to avoid traveling at least 30 km from the border area of Djibouti with Somalia in the south and the border area of Djibouti with Eritrea in the north."
Guinea,01,Regular precautions,NA,No information available
Equatorial Guinea,01,Regular precautions,NA,No information available
Guinea-Bissau,01,Regular precautions,NA,No information available
Jamaica,01,Regular precautions,NA,No information available
Gambia,01,Regular precautions,NA,No information available
Germany,01,Regular precautions,NA,No information available
Grenada,01,Regular precautions,NA,No information available
Dominica,01,Regular precautions,NA,No information available
Denmark,01,Regular precautions,NA,No information available
South Africa,01,Regular precautions,NA,No information available
South Sudan,01,Regular precautions,NA,No information available
Haiti,01,Regular precautions,NA,No information available
Maldives,01,Regular precautions,NA,"The country does not issue a travel warning in terms of terrorism; however, due to the deteriorating atmosphere and attitude towards Israelis, the Ministry of Foreign Affairs recommends avoiding non-essential travel at this time. Here is a link to the recommendation: Maldives Travel Advisory"
India,01/04,"High threat level (Level 4) – It is recommended to avoid travel to certain areas: Kashmir region, except Ladakh. No travel warning (Level 1) – It is recommended to take regular precautions: the rest of India.","Northern region (Kashmir)","In the Kashmir region in northern India (except Ladakh), the threat of terrorism is concrete and tangible, including incidents of violent internal events and exchanges of sporadic gunfire between Indian army forces along the border and Pakistani forces."
Netherlands,01,Regular precautions,NA,No information available
Hong Kong,01,Regular precautions,NA,No information available
Hungary,01,Regular precautions,NA,No information available
Honduras,01,Regular precautions,NA,No information available
Dominican Republic,01,Regular cautionary measures,No,No information
Central African Republic,04,Avoid any visit/stay in the country,Entire country,"Due to extensive terrorist activity and a precarious security situation in all regions of the Central African Republic, there is a real risk to Israelis visiting/staying in the country. We recommend avoiding travel to the country's territories."
Republic of the Congo,01,Regular cautionary measures,No,No information
Vietnam,01,Regular cautionary measures,No,No information
Vatican,01,Regular cautionary measures,No,No information
Vanuatu,01,Regular cautionary measures,No,No information
Venezuela,01,Regular cautionary measures,No,No information
Zimbabwe,01,Regular cautionary measures,No,No information
Zambia,01,Regular cautionary measures,No,No information
Shanhav Beach,03,Avoid non-essential travel,Entire country,"Due to terrorist activity in the country, specifically radical Islamist organizations, there is a tangible threat to the security of Israeli citizens in Shanhav Beach."
Tajikistan,04/01,High threat level (Level 4): Avoid travel within 30 kilometers of the common border between Tajikistan and Afghanistan. No travel warning (Level 1) recommends taking regular cautionary measures for the rest of the country.,Region along the common border between Tajikistan and Afghanistan,"We recommend avoiding travel, at least 30 kilometers, to the area along the common border between Tajikistan and Afghanistan, due to a real concern that terrorist elements operating in Afghanistan will attempt to harm/kidnap tourists, including Israelis."
Tuvalu,01,Regular cautionary measures,No,No information
Togo,01/04,High threat level (Level 4) recommends avoiding travel: about 30 km from the border of Togo with Burkina Faso. No travel warning (Level 1) recommends taking regular cautionary measures for the rest of the country.,Area along the border between Togo and Burkina Faso (See map),"Due to concerns about attacks by various terrorist organizations in northern Togo, it is recommended to avoid any travel to the border area with Burkina Faso. In this regard, maintain a distance of about 30 km from the border."
Tonga,01,Regular cautionary measures,No,No information
Taiwan,01,Regular cautionary measures,No,No information
Tanzania,01,Regular cautionary measures,No,No information
Trinidad and Tobago,01,Regular cautionary measures,No,No information
Greece,01,Regular cautionary measures,No,"While there is no travel warning for this country in the context of terrorism, due to extreme weather events in the country, the Ministry of Foreign Affairs has published recommendations for Israelis planning to visit the country. Here is a link to the recommendation: https://www.gov.il/he/departments/publications/reports/greece240723"
Japan,01,Regular cautionary measures,No,No information
Jordan,04,Do not travel to this country,In case of stay, leave the country,Entire country,"Due to the fear that terrorist elements will attempt to harm Israelis residing in Jordan, against the background of the ""Iron Swords"" war, it is advisable to avoid traveling to this country and, in the case of a stay, leave the country."
Kuwait,04,Avoid travel,Entire country,"Due to terrorist activity in the country, with an emphasis on radical Islamist organizations, there is a tangible threat to the security of Israeli citizens residing in Kuwait."
Laos,01,Regular cautionary measures,No,No information
