Country,Warning Level,Recommendation,Threatened Area,Detail
Uganda,"['Enhanced cautionary measures', 'Entire country']","""In light of recent terrorist events in Uganda and concerns about the existence of various terrorist infrastructures in the country and their activity,"" there is a persistent potential threat to the safety of Israelis/Jews residing in the country."""""
Uzbekistan,"""Most of the country: No travel warning (Level 1) and recommended to take regular cautionary measures. Region along the common border between Uzbekistan and Afghanistan: High threat level (Level 4),"" recommends avoiding travel within 30 kilometers of the border.""""","['Border area between Uzbekistan and Afghanistan', '""It is recommended to maintain a distance of 30 kilometers from the border between Uzbekistan and Afghanistan due to a concern that terrorist elements in Afghanistan will carry out attacks in this area.""']"
Austria,"['Regular cautionary measures', 'No']",['No information']
Australia,"['Regular cautionary measures', 'No']",['No information']
Ukraine,"['Regular cautionary measures', 'No']","""While there is no travel warning for this country in the context of terrorism,"" due to the ongoing conflict"""
Uruguay,"['Regular cautionary measures', 'No']",['No information']
Azerbaijan,"['Enhanced cautionary measures', 'Entire country']","""Due to concerns about the existence of various terrorist infrastructures in Azerbaijan,"" there is a persistent potential threat to the safety of Israelis/Jews residing in the country."""""
United Arab Emirates,"['Avoid non-essential travel', 'Entire country']","""There is terrorist activity in the UAE,"" posing a real risk to Israelis residing/visiting the country."""""
Italy,"['Regular cautionary measures', 'No']","""While there is no travel warning for this country in the context of terrorism,"" due to the wildfires in the country"""
Bahamas,"['Regular cautionary measures', 'No']",['No information']
Marshall Islands,"['Regular cautionary measures', 'No']",['No information']
Seychelles,"['Regular cautionary measures', 'No']",['No information']
Solomon Islands,"['Regular cautionary measures', 'No']",['No information']
Indonesia,"""High threat level (Level 4) recommends avoiding travel: Western Papua,"" Sulawesi Islands""","[' Sumatra', ' Aceh Province']"
Iceland,"['Regular cautionary measures', 'No']",['No information']
Iran,"['Travel prohibition', 'Entire country']","""Given the deep animosity towards Israel by the Iranian regime and potential terrorist threats,"" there is a real risk to the security of Israelis visiting/staying in this country. Moreover"""
Ireland,"['Regular cautionary measures', 'No']",['No information']
El Salvador,"['Regular cautionary measures', 'No']",['No information']
Albania,"['Regular cautionary measures', 'No']",['No information']
Algeria,"['Avoid travel', 'Entire country']","""In the country,"" there is activity by terrorist organizations"""
Angola,"['Regular cautionary measures', 'No']",['No information']
Andorra,"['Regular cautionary measures', 'No']",['No information']
Antigua and Barbuda,"['Regular cautionary measures', 'No']",['No information']
Estonia,"['Regular cautionary measures', 'No']",['No information']
Afghanistan,"['Avoid travel', 'Entire country']","""Due to the persistent threat from terrorist organizations,"" including the Taliban"""
Ecuador,"['Regular cautionary measures', 'No']",['No information']
Argentina,"['Regular cautionary measures', 'No']",['No information']
Eritrea,"['Regular cautionary measures', 'No']",['No information']
Armenia,"['Regular cautionary measures', 'No']",['No information']
United States,"['Regular cautionary measures', 'No']",['No information']
Ethiopia,"['Potential threat (Level 2): Recommended to take increased cautionary measures: South and east of the country. No travel warning (Level 1) recommends taking regular cautionary measures for the rest of the country.', 'South and east of the country (See map)']","""Due to the presence of terrorist infrastructure of the Somali organization Al-Shabaab in the country and their activity,"" there is a persistent potential threat to Israelis/Jews residing in the Somali region in Ethiopia and the border area with Djibouti. Note: Ethiopia has also issued a travel warning from its Ministry of Foreign Affairs."""""
Bhutan,"['Regular cautionary measures', 'No']",['No information']
Bulgaria,"['Regular cautionary measures', 'No']",['No information']
