Country,warning level,recommendation,the threatened area,detail,,,,,,,
Uganda,02,Increased precautions,all the territories of the country,"In light of several terrorist incidents that have recently occurred in Uganda and the fear of the existence of various terrorist infrastructures in the country and their activities, there is an ongoing potential threat of harm to Israelis/Jews residing in the country.",,,,,,,
Uzbekistan,01/04,"Most of the country: no travel warning (level 1) and it is recommended to take normal precautions. Shared space on the border between Uzbekistan and Afghanistan: high threat level (level 4), it is recommended to avoid reaching 30 kilometers from the border.",Uzbekistan's border with Afghanistan.,"It is recommended to maintain a distance of 30 kilometers from the border of Uzbekistan with Afghanistan, in light of the fear that terrorist elements in Afghanistan will carry out attacks in this area.",,,,,,,
Austria,01,normal precautions,with no,No information,,,,,,,
Australia,01,normal precautions,with no,No information,,,,,,,
Ukraine,01,normal precautions,with no,"The country is not subject to a travel warning in terms of terrorism. Alongside this, in light of the ongoing fighting, those planning to come to the country should review the Foreign Ministry's recommendations regarding a visit to Ukraine.",,,,,,,
Uruguay,01,normal precautions,with no,No information,,,,,,,
Azerbaijan,02,Increased precautions,all the territories of the country,"In view of the fear of the existence of various terrorist infrastructures in Azerbaijan, there is a continuous potential threat of harm to Israelis/Jews residing in the country.",,,,,,,
United Arab Emirates,03,Avoid non-essential travel,all the territories of the country,"There is an activity of terrorist elements in Ma'am, which poses a real risk to Israelis who stay/visit the country.",,,,,,,
Italy,01,normal precautions,with no,"This country does not have a travel warning in connection with terrorism, but in light of the fires that are raging in the country, the Ministry of Foreign Affairs has published recommendations for Israelis documenting to come to the country. Below is a link to the recommendation. https://www.gov.il/he/departments/publications/reports/italy260723",,,,,,,
the Bahamas,01,normal precautions,with no,No information,,,,,,,
Marshall Islands,01,normal precautions,with no,No information,,,,,,,
Seychelles,01,normal precautions,with no,No information,,,,,,,
Solomon Islands,01,normal precautions,with no,No information,,,,,,,
Indonesia,03\04,"High threat level (level 4) it is recommended to avoid reaching: West Papua, Selwasi Islands, Sumatra, Aceh province and parts of Java. Medium threat level (level 3) it is recommended to avoid non-essential travel: the rest of Indonesia.",all the territories of the country,"In light of the activity of Muslim terrorist organizations in several locations in Indonesia, against government and security targets alongside civilian targets, there is a fear for the lives of Israelis staying/visiting the country.",,,,,,,
Iceland,01,normal precautions,with no,No information,,,,,,,
Iran,04,It is forbidden to travel to the country,all the territories of the country,"In view of the deep hostility towards Israel on the part of the Iranian regime and in light of potential terrorist threats, there is a real risk to the safety of Israelis visiting/staying in this country and moreover, according to the ""infiltration law"" residents of Israel are prohibited from visiting this country.",,,,,,,
Ireland,01,normal precautions,with no,No information,,,,,,,
El Salvador,01,normal precautions,with no,No information,,,,,,,
Albania,01,normal precautions,with no,No information,,,,,,,
Algeria,04,avoid arrival,all the territories of the country,"There is activity of terrorist organizations in the country, in recent years several terrorist attacks have been carried out in the country by organizations such as JNIM and the ""Islamic State"" (ISIS), which owns infrastructure in the country. At the same time, there is hostility towards Israel on the Algerian street. In light of this, there is a risk for the safety of Israelis who will visit the country",,,,,,,
Angola,01,normal precautions,with no,No information,,,,,,,
Andorra,01,normal precautions,with no,No information,,,,,,,
Antigua and Barbuda,01,normal precautions,with no,No information,,,,,,,
Estonia,01,normal precautions,with no,No information,,,,,,,
Afghanistan,04,avoid arrival,all the territories of the country,"In light of the ongoing threat from terrorist organizations, led by the Taliban, al-Qaeda and the Islamic State (Daesh), which cause dozens of casualties every month among the population and the local security forces, there is a real risk to the safety of Israelis visiting/staying in this country.",,,,,,,
Ecuador,01,normal precautions,with no,No information,,,,,,,
Argentina,01,normal precautions,with no,No information,,,,,,,
Eritrea,01,normal precautions,with no,No information,,,,,,,
Armenia,01,normal precautions,with no,No information,,,,,,,
United States,01,normal precautions,with no,No information,,,,,,,
Ethiopia,01\02,Occasional threat (level 2) it is recommended to take increased precautions: South and East of the country. Without a travel warning (level 1) it is recommended to take normal precautions: the rest of the country.,Southeast of the country (see map),"In view of the fear of the presence of terrorist infrastructures of the Somali Al-Shabaab organization in the country and their activities, there is an ongoing potential threat of harm to Israelis/Jews staying in the Somali region of Ethiopia in the east of the country and the border area with Djibouti. For your attention, Ethiopia is also subject to a travel warning issued by the Ministry of Foreign Affairs.",,,,,,,
Bhutan,01,normal precautions,with no,No information,,,,,,,
Bulgaria,01,normal precautions,with no,No information,,,,,,,
Bolivia,01,normal precautions,with no,"This country is not subject to a travel warning in the context of terrorism, but in light of the security situation in Israel following the ""Iron Swords"", the Ministry of Foreign Affairs issued recommendations for Israelis expected to arrive in the country.",,,,,,,
Bosnia and Herzegovina,01,normal precautions,with no,No information,,,,,,,
Botswana,01,normal precautions,with no,No information,,,,,,,
Burundi,01,normal precautions,with no,No information,,,,,,,
Burkina Faso,04,avoid coming to the country,all the territories of the country,"In recent years, there has been a noticeable worsening of terrorist activity in the country by elements of global jihad, within this framework, terrorist attacks have been carried out, including attacks on tourist destinations in the capital, including an attack on the building of the French embassy in the city. In light of this, there is a risk to the lives of Israelis who visit this country.",,,,,,,
Bahrain,03,Avoid non-essential travel,all the territories of the country,"In light of the presence of terrorist infrastructure in the country, there is a real risk to the safety of Israelis visiting/staying in this country.",,,,,,,
Belarus,01,normal precautions,with no,No information,,,,,,,
Belgium,01,normal precautions,with no,No information,,,,,,,
Belize,01,normal precautions,with no,No information,,,,,,,
Bangladesh,03,Avoid non-essential travel,all the territories of the country,"In Bangladesh there is a presence and activity of supporters and members of global jihad organizations; This activity poses a risk to Israelis who will visit the country. In light of this, we recommend avoiding arriving in the country.",,,,,,,
building,01,normal precautions,with no,No information,,,,,,,
Barbados,01,normal precautions,with no,No information,,,,,,,
Brunei,01,normal precautions,with no,No information,,,,,,,
Brazil,01,normal precautions,with no,No information,,,,,,,
UK,01,normal precautions,with no,No information,,,,,,,
Gabon,01,normal precautions,with no,No information,,,,,,,
Georgia,02\01,Occasional threat (level 2) it is recommended to take increased precautions: Pankisi region in the east of the country. Without a travel warning (level 1) it is recommended to take normal precautions: the rest of the country.,Pancakes rope,In view of the fear of the activity of terrorist elements in the Pankisi region (eastern Georgia) there is a fear for the safety of Israeli tourists who will visit the area.,,,,,,,
Ghana,01,normal precautions,with no,No information,,,,,,,
Guatemala,01,normal precautions,with no,No information,,,,,,,
Guyana,01,normal precautions,with no,No information,,,,,,,
Djibouti,02/04,High threat level (level 4) it is recommended to avoid reaching: about 30 km from Djibouti's border with Somalia in the south and about 30 km from Djibouti's border with Eritrea in the north. Occasional threat level (level 2) it is recommended to take increased precautions: the rest of the country.,all the territories of the country,"In light of the fear of terrorist activity by the ""Somali al-Shabab"" organization, increased precautions should be taken when staying in Djibouti. Also, one should avoid reaching at least 30 km from the border area of ​​Djibouti with Somalia in the south and the border area of ​​Djibouti with Eritrea in the north.",,,,,,,
Guinea,01,normal precautions,with no,No information,,,,,,,
Equatorial Guinea,01,normal precautions,with no,No information,,,,,,,
Guinea-Bissau,01,normal precautions,with no,No information,,,,,,,
Jamaica,01,normal precautions,with no,No information,,,,,,,
Gambia,01,normal precautions,with no,No information,,,,,,,
Germany,01,normal precautions,with no,No information,,,,,,,
Grenada,01,normal precautions,with no,No information,,,,,,,
Dominica,01,normal precautions,with no,No information,,,,,,,
Denmark,01,normal precautions,with no,No information,,,,,,,
South Africa,01,normal precautions,with no,No information,,,,,,,
South Sudan,01,normal precautions,with no,No information,,,,,,,
Haiti,01,normal precautions,with no,No information,,,,,,,
Maldives,01,normal precautions,with no,"The country is not subject to a travel warning in terms of terrorism, at the same time, in light of the worsening atmosphere and attitude towards Israelis, the Ministry of Foreign Affairs recommends avoiding non-essential travel at this time. Below is a link to the recommendation. https://www.gov.il/he/departments/publications/reports/maldives181023",,,,,,,
India,01\04,"High threat level (level 4) It is recommended to avoid reaching any: Kashmir region, except Ladakh. No travel warning (level 1) normal precautions are recommended: rest of India.",North of the country (Kashmir),"In the region of Kashmir in northern India (with the exception of the Ladakh region), the threat of terrorism is tangible and concrete, among other things in light of violent internal incidents and sporadic exchanges of fire between the Indian army forces stationed along the border and the Pakistani forces.",,,,,,,
Netherlands,01,normal precautions,with no,No information,,,,,,,
Hong Kong,01,normal precautions,with no,No information,,,,,,,
Hungary,01,normal precautions,with no,No information,,,,,,,
Honduras,01,normal precautions,with no,No information,,,,,,,
the Dominican Republic,01,normal precautions,with no,No information,,,,,,,
