Country,Advisory Level
אוגנדה,מדינה
02,רמת אזהרה
אמצעי זהירות מוגברים,המלצה
כלל שטחי המדינה,המרחב המאוים
"לאור מספר אירועי טרור שהתרחשו לאחרונה באוגנדה וחשש מקיומן של תשתיות טרור שונות במדינה ופעילות מצידן, קיים איום פוטנציאלי מתמשך לפגיעה בישראלים/יהודים השוהים במדינה.",פירוט
,המלצות משרדי החוץ והבריאות
אוזבקיסטן,מדינה
01/04,רמת אזהרה
"רוב שטחי המדינה: ללא אזהרת מסע (רמה 1) ומומלץ לנקוט באמצעי זהירות רגילים. מרחב משותף בגבול בין אוזבקיסטן לאפגניסטן: רמת איום גבוהה (רמה 4), ממליצים להימנע מהגעה של 30 קילומטר מהגבול.",המלצה
הגבול של אוזבקיסטן עם אפגניסטן.,המרחב המאוים
"מומלץ לשמור על מרחק של 30 קילומטר מהגבול של אוזבקיסטן עם אפגניסטן, לאור חשש כי גורמי טרור באפגניסטן יבצעו מתקפות במרחב זה.",פירוט
,המלצות משרדי החוץ והבריאות
אוסטריה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
אוסטרליה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
אוקראינה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
"על המדינה לא מוחלת אזהרת מסע בהיבטי טרור. לצד זאת, לאור הלחימה המתמשכת, על המתכננים להגיע למדינה יש לעיין בהמלצות משרד החוץ אודות ביקור באוקראינה.",פירוט
,המלצות משרדי החוץ והבריאות
אורוגואי,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
אזרביג'אן,מדינה
02,רמת אזהרה
אמצעי זהירות מוגברים,המלצה
כלל שטחי המדינה,המרחב המאוים
"לאור חשש מקיומן של תשתיות טרור שונות באזרביג'אן, קיים איום פוטנציאלי מתמשך לפגיעה בישראלים/יהודים השוהים במדינה.",פירוט
,המלצות משרדי החוץ והבריאות
איחוד האמירויות הערביות,מדינה
03,רמת אזהרה
להימנע מנסיעות שאינן חיוניות,המלצה
כלל שטחי המדינה,המרחב המאוים
"במאע""מ מתקיימת פעילות של גורמי טרור, המהווה סיכון ממשי לישראלים אשר שוהים/מבקרים במדינה.",פירוט
,המלצות משרדי החוץ והבריאות
איטליה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
"על מדינה זו לא חלה אזהרת מסע בהקשרי טרור, אך לאור השריפות המתחוללות במדינה, משרד החוץ פרסם המלצות לישראלים המתעדים להגיע למדינה. להלן קישור להמלצה.  https://www.gov.il/he/departments/publications/reports/italy260723",פירוט
,המלצות משרדי החוץ והבריאות
איי בהאמה,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
איי מרשל,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
איי סיישל,מדינה
01,רמת אזהרה
אמצעי זהירות רגילים,המלצה
ללא,המרחב המאוים
אין מידע,פירוט
,המלצות משרדי החוץ והבריאות
איי שלמה,מדינה
